Interface,XSI,POSIX Base,U98,U95,P96 P92,C99,C89,SVID3,BSD,LSB 1.3,OpenVMS 7.3-2
fabsf(),m,m,.,.,.,m,.,.,.,libm,alpha
fabsl(),m,m,.,.,.,m,.,.,.,libm,alpha
fabs(),m,m,m,m,m,m,m,m,m,libm,m
fattach(),o,xsr,m,m,.,.,.,m,.,.,.
fchdir(),m,xsi,m,m,.,.,.,m,.,libc,.
fchmod(),m,m,m,m,.,.,.,m,m,libc,.
fchown(),m,m,m,m,.,.,.,m,m,libc,m
fclose(),m,m,m,m,m,m,m,m,m,libc,m
fcntl(),m,m,m,m,m,.,.,m,m,libc,m
fcvt(),l,xsi,m,m,.,.,.,.,m,libc,m
fdatasync(),o,sio,o,.,r,.,.,.,.,libc,.
FD_CLR(),m,m,m,m,.,.,.,.,.,.,m
fdetach(),o,xsr,m,m,.,.,.,m,.,.,.
fdimf(),m,m,.,.,.,m,.,.,.,libm,alpha
fdiml(),m,m,.,.,.,m,.,.,.,libm,alpha
fdim(),m,m,.,.,.,m,.,.,.,libm,alpha
FD_ISSET(),m,m,m,m,.,.,.,.,.,.,m
fdopen(),m,m,m,m,m,.,.,m,m,libc,m
FD_SET(),m,m,m,m,.,.,.,.,.,.,m
FD_ZERO(),m,m,m,m,.,.,.,.,.,.,m
feclearexcept(),m,m,.,.,.,m,.,.,.,libm,.
fegetenv(),m,m,.,.,.,m,.,.,.,libm,.
fegetexceptflag(),m,m,.,.,.,m,.,.,.,libm,.
fegetround(),m,m,.,.,.,m,.,.,.,libm,.
feholdexcept(),m,m,.,.,.,m,.,.,.,libm,.
feof(),m,m,m,m,m,m,m,m,m,libc,m
feraiseexcept(),m,m,.,.,.,m,.,.,.,libm,.
ferror(),m,m,m,m,m,m,m,m,m,libc,m
fesetenv(),m,m,.,.,.,m,.,.,.,libm,.
fesetexceptflag(),m,m,.,.,.,m,.,.,.,libm,.
fesetround(),m,m,.,.,.,m,.,.,.,libm,.
fetestexcept(),m,m,.,.,.,m,.,.,.,libm,.
feupdateenv(),m,m,.,.,.,m,.,.,.,libm,.
fflush(),m,m,m,m,m,m,m,m,m,libc,m
fflush_unlocked(),.,.,.,.,.,.,.,.,.,libc,.
ffs(),m,xsi,m,m,.,.,.,.,m,libc,m
fgetc(),m,m,m,m,m,m,m,m,m,libc,m
fgetpos64(),.,.,.,.,.,.,.,.,.,libc,.
fgetpos(),m,m,m,m,.,m,m,m,.,libc,m
fgets(),m,m,m,m,m,m,m,m,m,libc,m
fgetwc(),m,m,m,m,.,m,1,.,.,libc,m
fgetwc_unlocked(),.,.,.,.,.,.,.,.,.,libc,.
fgetws(),m,m,m,m,.,m,1,.,.,libc,m
fileno(),m,m,m,m,m,.,.,m,m,libc,m
finitef(),.,.,.,.,.,.,.,.,.,libm,.
finite(),.,.,.,.,.,.,.,.,.,libm,.
finitel(),.,.,.,.,.,.,.,.,.,libm,.
flockfile(),m,tsf,m,.,t,.,.,.,.,libc,.
flock(),.,.,.,.,.,.,.,.,.,libc,.
floorf(),m,m,.,.,.,m,.,.,.,libm,alpha
floorl(),m,m,.,.,.,m,.,.,.,libm,alpha
floor(),m,m,m,m,m,m,m,m,m,libm,m
fmaf(),m,m,.,.,.,m,.,.,.,libm,alpha
fmal(),m,m,.,.,.,m,.,.,.,libm,alpha
fma(),m,m,.,.,.,m,.,.,.,libm,alpha
fmaxf(),m,m,.,.,.,m,.,.,.,libm,alpha
fmaxl(),m,m,.,.,.,m,.,.,.,libm,alpha
fmax(),m,m,.,.,.,m,.,.,.,libm,alpha
fminf(),m,m,.,.,.,m,.,.,.,libm,alpha
fminl(),m,m,.,.,.,m,.,.,.,libm,alpha
fmin(),m,m,.,.,.,m,.,.,.,libm,alpha
fmodf(),m,m,.,.,.,m,.,.,.,libm,alpha
fmodl(),m,m,.,.,.,m,.,.,.,libm,alpha
fmod(),m,m,m,m,m,m,m,m,.,libm,m
fmtmsg(),m,xsi,m,m,.,.,.,m,.,libc,.
fnmatch(),m,m,m,m,m,.,.,.,.,libc,.
fopen64(),.,.,.,.,.,.,.,.,.,libc,.
fopen(),m,m,m,m,m,m,m,m,m,libc,m
fork(),m,m,m,m,m,.,.,m,m,libc,.
fpathconf(),m,m,m,m,m,.,.,m,.,libc,m
fpclassify(),m,m,.,.,.,m,.,.,.,.,.
__fpending(),.,.,.,.,.,.,.,.,.,libc,.
fprintf(),m,m,m,m,m,m,m,m,m,libc,m
fputc(),m,m,m,m,m,m,m,m,m,libc,m
fputs(),m,m,m,m,m,m,m,m,m,libc,m
fputwc(),m,m,m,m,.,m,1,.,.,libc,m
fputws(),m,m,m,m,.,m,1,.,.,libc,m
fread(),m,m,m,m,m,m,m,m,m,libc,m
freeaddrinfo(),m,m,.,.,.,.,.,.,.,libc,m
free(),m,m,m,m,m,m,m,m,m,libc,m
freopen64(),.,.,.,.,.,.,.,.,.,libc,.
freopen(),m,m,m,m,m,m,m,m,m,libc,m
frexpf(),m,m,.,.,.,m,.,.,.,libm,alpha
frexpl(),m,m,.,.,.,m,.,.,.,libm,alpha
frexp(),m,m,m,m,m,m,m,m,m,libm,m
fscanf(),m,m,m,m,m,m,m,m,m,libc,m
fseek(),m,m,m,m,m,m,m,m,m,libc,m
fseeko64(),.,.,.,.,.,.,.,.,.,libc,.
fseeko(),m,m,m,.,.,.,.,.,.,libc,m
fsetpos64(),.,.,.,.,.,.,.,.,.,libc,.
fsetpos(),m,m,m,m,.,m,m,m,.,libc,m
fstatfs64(),.,.,.,.,.,.,.,.,.,libc(ob),.
fstatfs(),.,.,.,.,.,.,.,.,.,libc(ob),.
fstat(),m,m,m,m,m,.,.,m,m,.,m
fstatvfs64(),.,.,.,.,.,.,.,.,.,libc,.
