Interface,XSI,POSIX Base,U98,U95,P96 P92,C99,C89,SVID3,BSD,LSB 1.3,OpenVMS 7.3-2
wcrtomb(),m,m,m,.,.,m,1,.,.,libc,m
wcscasecmp(),.,.,.,.,.,.,.,.,.,libc,.
wcscat(),m,m,m,m,.,m,1,.,.,libc,m
wcschr(),m,m,m,m,.,m,1,.,.,libc,m
wcscmp(),m,m,m,m,.,m,1,.,.,libc,m
wcscoll(),m,m,m,o,.,m,1,.,.,libc,m
wcscpy(),m,m,m,m,.,m,1,.,.,libc,m
wcscspn(),m,m,m,m,.,m,1,.,.,libc,m
wcsdup(),.,.,.,.,.,.,.,.,.,libc,.
wcsftime(),m,m,m,o,.,m,1,.,.,libc,m
wcslen(),m,m,m,m,.,m,1,.,.,libc,m
wcsncasecmp(),.,.,.,.,.,.,.,.,.,libc,.
wcsncat(),m,m,m,m,.,m,1,.,.,libc,m
wcsncmp(),m,m,m,m,.,m,1,.,.,libc,m
wcsncpy(),m,m,m,m,.,m,1,.,.,libc,m
wcsnlen(),.,.,.,.,.,.,.,.,.,libc,.
wcsnrtombs(),.,.,.,.,.,.,.,.,.,libc,.
wcspbrk(),m,m,m,m,.,m,1,.,.,libc,m
wcsrchr(),m,m,m,m,.,m,1,.,.,libc,m
wcsrtombs(),m,m,m,.,.,m,1,.,.,libc,m
wcsspn(),m,m,m,m,.,m,1,.,.,libc,m
wcsstr(),m,m,m,.,.,m,1,.,.,libc,m
__wcstod_internal(),.,.,.,.,.,.,.,.,.,libc,.
wcstod(),m,m,m,m,.,m,1,.,.,libc,m
__wcstof_internal(),.,.,.,.,.,.,.,.,.,libc,.
wcstof(),m,m,.,.,.,m,.,.,.,libc,.
wcstoimax(),m,m,.,.,.,m,.,.,.,libc,.
wcstok(),m,m,m,m,.,m,1,.,.,libc,m
__wcstold_internal(),.,.,.,.,.,.,.,.,.,libc,.
wcstold(),m,m,.,.,.,m,.,.,.,libc,.
__wcstol_internal(),.,.,.,.,.,.,.,.,.,libc,.
wcstoll(),m,m,.,.,.,m,.,.,.,libc,.
wcstol(),m,m,m,m,.,m,1,.,.,libc,m
wcstombs(),m,m,m,m,.,m,m,m,.,libc,m
wcstoq(),.,.,.,.,.,.,.,.,.,libc,.
__wcstoul_internal(),.,.,.,.,.,.,.,.,.,libc,.
wcstoull(),m,m,.,.,.,m,.,.,.,libc,.
wcstoul(),m,m,m,m,.,m,1,.,.,libc,m
wcstoumax(),m,m,.,.,.,m,.,.,.,libc,.
wcstouq(),.,.,.,.,.,.,.,.,.,libc,.
wcswcs(),l,xsi,m,m,.,.,.,.,.,libc,m
wcswidth(),m,xsi,m,m,.,.,.,.,.,libc,m
wcsxfrm(),m,m,m,o,.,m,1,.,.,libc,m
wctob(),m,m,m,.,.,m,1,.,.,libc,m
wctomb(),m,m,m,m,.,m,m,m,.,libc,m
wctrans(),m,m,m,.,.,m,1,.,.,libc,m
wctype(),m,m,m,m,.,m,1,.,.,libc,m
wcwidth(),m,xsi,m,m,.,.,.,.,.,libc,m
wmemchr(),m,m,m,.,.,m,1,.,.,libc,m
wmemcmp(),m,m,m,.,.,m,1,.,.,libc,m
wmemcpy(),m,m,m,.,.,m,1,.,.,libc,m
wmemmove(),m,m,m,.,.,m,1,.,.,libc,m
wmemset(),m,m,m,.,.,m,1,.,.,libc,m
wordexp(),m,m,m,o,m,.,.,.,.,libc,.
wordfree(),m,m,m,o,m,.,.,.,.,libc,.
wprintf(),m,m,m,.,.,m,1,.,.,libc,m
write(),m,xsi,m,m,m,.,.,m,m,libc,m
writev(),m,xsi,m,m,.,.,.,m,m,libc,m
wscanf(),m,m,m,.,.,m,1,.,.,libc,m
xdr_accepted_reply(),.,.,.,.,.,.,.,.,.,libc,.
xdr_array(),.,.,.,.,.,.,.,.,.,libc,.
xdr_bool(),.,.,.,.,.,.,.,.,.,libc,.
xdr_bytes(),.,.,.,.,.,.,.,.,.,libc,.
xdr_callhdr(),.,.,.,.,.,.,.,.,.,libc,.
xdr_callmsg(),.,.,.,.,.,.,.,.,.,libc,.
xdr_char(),.,.,.,.,.,.,.,.,.,libc,.
xdr_double(),.,.,.,.,.,.,.,.,.,libc,.
xdr_enum(),.,.,.,.,.,.,.,.,.,libc,.
xdr_float(),.,.,.,.,.,.,.,.,.,libc,.
xdr_free(),.,.,.,.,.,.,.,.,.,libc,.
xdr_int(),.,.,.,.,.,.,.,.,.,libc,.
xdr_long(),.,.,.,.,.,.,.,.,.,libc,.
xdrmem_create(),.,.,.,.,.,.,.,.,.,libc,.
xdr_opaque_auth(),.,.,.,.,.,.,.,.,.,libc,.
xdr_opaque(),.,.,.,.,.,.,.,.,.,libc,.
xdr_pointer(),.,.,.,.,.,.,.,.,.,libc,.
xdrrec_create(),.,.,.,.,.,.,.,.,.,libc,.
xdrrec_eof(),.,.,.,.,.,.,.,.,.,libc,.
xdr_reference(),.,.,.,.,.,.,.,.,.,libc,.
xdr_rejected_reply(),.,.,.,.,.,.,.,.,.,libc,.
xdr_replymsg(),.,.,.,.,.,.,.,.,.,libc,.
xdr_short(),.,.,.,.,.,.,.,.,.,libc,.
xdr_string(),.,.,.,.,.,.,.,.,.,libc,.
xdr_u_char(),.,.,.,.,.,.,.,.,.,libc,.
xdr_u_int(),.,.,.,.,.,.,.,.,.,libc,.
xdr_u_long(),.,.,.,.,.,.,.,.,.,libc,.
xdr_union(),.,.,.,.,.,.,.,.,.,libc,.
xdr_u_short(),.,.,.,.,.,.,.,.,.,libc,.
xdr_vector(),.,.,.,.,.,.,.,.,.,libc,.
xdr_void(),.,.,.,.,.,.,.,.,.,libc,.
xdr_wrapstring(),.,.,.,.,.,.,.,.,.,libc,.
__xmknod(),.,.,.,.,.,.,.,.,.,libc,.
__xstat64(),.,.,.,.,.,.,.,.,.,libc,.
__xstat(),.,.,.,.,.,.,.,.,.,libc,.
y0f(),.,.,.,.,.,.,.,.,.,libm,alpha
y0l(),.,.,.,.,.,.,.,.,.,libm,alpha
y0(),m,xsi,m,m,.,.,.,m,m,libm,alpha
y1f(),.,.,.,.,.,.,.,.,.,libm,alpha
y1l(),.,.,.,.,.,.,.,.,.,libm,alpha
y1(),m,xsi,m,m,.,.,.,m,m,libm,alpha
ynf(),.,.,.,.,.,.,.,.,.,libm,alpha
ynl(),.,.,.,.,.,.,.,.,.,.,alpha
ynl(),.,.,.,.,.,.,.,.,.,libm,alpha
yn(),m,xsi,m,m,.,.,.,m,m,libm,alpha
